id,texto,curso_nome,curso_sigla,idade,sexo,semestres_labtech
R01,"Deu muito pra mim ter trocas de conhecimentos e conhecer colegas de outros cursos, agregando para o projeto diferentes perspectivas.",Ciência da Computação,CCP,23,FEMININO,1
R02,"Foi uma excelente oportunidade para conhecer as diversas áreas de atuação dentro de um projeto de desenvolvimento, além de proporcionar uma imersão completa no processo de criação de um sistema, desde o planejamento até a entrega. A experiência no labtech permitiu uma visão abrangente do ciclo de desenvolvimento, o que contribuiu significativamente para minha ambientação no modelo de trabalho adotado pela empresa.",Sistemas de Informação,SI,28,MASCULINO,1
R03,No meu estágio eu não tenho muito contato com código e etc. O labtech me ajudou a ter mais esse contato ,Ciência da Computação,CCP,21,MASCULINO,2
R04,Alunos que já tem experiência com desenvolvimento poderiam receber uma pequena bolsa pra ajudar aqueles que estao começando ,Ciência da Computação,CCP,22,MASCULINO,3
R05,"Uma completa falta de organização e didática, especialmente para quem tava começando a programar. ",Ciência da Computação,CCP,21,MASCULINO,1
R06,A UDF deveria ter uma fabrica junior estruturada e sustentavel para gerar conhecimento permanece e renda para jovens e pequenas empresas.,Sistemas de Informação,SI,34,FEMININO,1
